job_id,tag,matrix,perm,perm_type,algo,block_size,n_cols,time_loading_ms,time_transfer_ms,time_operation_ms,time_preprocessing_ms,time_write_ms
212268,ASPT_SPMM_SYMMETRIC,psmigr_1.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,74.000122,160.804073,0.165888,,
212269,ASPT_SPMM_SYMMETRIC,psmigr_1.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,73.091767,161.961959,0.155648,,
212276,ASPT_SPMM_SYMMETRIC,psmigr_2.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,98.772541,171.345073,0.157696,,
212277,ASPT_SPMM_SYMMETRIC,psmigr_2.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,87.289102,172.712691,0.156672,,
212278,ASPT_SPMM_SYMMETRIC,psmigr_2.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,88.856206,169.054881,0.157696,,
212285,ASPT_SPMM_SYMMETRIC,psmigr_3.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,140.118231,171.541452,0.16384,,
212286,ASPT_SPMM_SYMMETRIC,psmigr_3.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,87.811234,172.212672,0.162816,,
212287,ASPT_SPMM_SYMMETRIC,psmigr_3.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,93.678263,170.760675,0.172032,,
212294,ASPT_SPMM_SYMMETRIC,saylr4.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,34.826163,11.229151,0.057408,,
212295,ASPT_SPMM_SYMMETRIC,saylr4.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,15.727671,12.194725,0.057664,,
212296,ASPT_SPMM_SYMMETRIC,saylr4.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,25.086159,12.503175,0.058912,,
